jobid,company_name,date_posted_parsed,job_title,description_text,benefits,qualifications,job_type,location,salary_formatted,company_rating,company_reviews_count,country,date_posted,description,region,company_link,company_website,domain,apply_link,srcname,url,is_expired,discovery_input
    Routine duties shall include providing health care services to individuals eligible for services in accordance with the self-governance compact and funding agreement between the Cherokee Nation and United States executed under the authority of the Indian Self-Determination and Education Assistance Act. Administers a program of direct physical therapy consisting of corrective exercise and treatment for assigned patients, as determined by the evaluation performed by the Physical Therapist. Instructs, motivates, and assists patients to learn and improve functional activities such as perambulation, transfer, ambulation, and daily living activities. Observes patients during treatments and compiles and evaluates data on patients' responses to treatments and progress and reports orally or in writing to Physical Therapist. Provides assistance to the Physical Therapist during patient testing, evaluations and complex procedures. Fits patients for adjusts, and trains patients in use and care of orthopedic braces, prostheses, and supportive devices such as crutches, canes, walkers, and wheelchairs. Gives orientation to new Physical Therapist Assistants and directs and gives instructions to Physical Therapy Aides. Performs clerical duties such as taking inventory, ordering supplies, answering telephones, taking messages, scheduling appointments and filling out forms. Measures patient's range-of-joint motion, length and girth of body parts, and vital signs to determine effects of specific treatments or to assist Physical Therapist to compile data for patient evaluations. Monitors treatments administered by Physical Therapy Aides. Participates in educational programs and in-service training. Attends meetings. Considers specific patient variables, such as communication skills, motivation and stamina, and adapts techniques and/or makes adjustments to equipment to meet the needs of the patient. Maintains sensitivity to patient comfort and privacy. Maintains confidentiality. Maintains records, reports and files. Other duties may be assigned.
    Routine duties shall include providing health care services to individuals eligible for services in accordance with the self-governance compact and funding agreement between the Cherokee Nation and United States executed under the authority of the Indian Self-Determination and Education Assistance Act. Administers a program of direct physical therapy consisting of corrective exercise and treatment for assigned patients, as determined by the evaluation performed by the Physical Therapist. Instructs, motivates, and assists patients to learn and improve functional activities such as perambulation, transfer, ambulation, and daily living activities. Observes patients during treatments and compiles and evaluates data on patients' responses to treatments and progress and reports orally or in writing to Physical Therapist. Provides assistance to the Physical Therapist during patient testing, evaluations and complex procedures. Fits patients for adjusts, and trains patients in use and care of orthopedic braces, prostheses, and supportive devices such as crutches, canes, walkers, and wheelchairs. Gives orientation to new Physical Therapist Assistants and directs and gives instructions to Physical Therapy Aides. Performs clerical duties such as taking inventory, ordering supplies, answering telephones, taking messages, scheduling appointments and filling out forms. Measures patient's range-of-joint motion, length and girth of body parts, and vital signs to determine effects of specific treatments or to assist Physical Therapist to compile data for patient evaluations. Monitors treatments administered by Physical Therapy Aides. Participates in educational programs and in-service training. Attends meetings. Considers specific patient variables, such as communication skills, motivation and stamina, and adapts techniques and/or makes adjustments to equipment to meet the needs of the patient. Maintains sensitivity to patient comfort and privacy. Maintains confidentiality. Maintains records, reports and files. Other duties may be assigned.
  POSITION SUMMARY     Assist in coordinating the operation of all Special Events or Leisure Experience (i.e.,ICE!, Best of Florida Christmas, SummerFest, etc.) activities. Check the status of operation, lighting, AV, cleanliness, system operation and correct any aesthetic deficiencies. Follow through with training guidelines to support the direction of Special Events Manager and Assistant Managers. Monitor and assist with training for all Special Events employees. Learn and operate software systems used in events (i.e., ticketing, retail, inventory, space usage, etc.). Resolve financial, inventory, numeric discrepancies.     Follow all company policies and procedures; report accidents, injuries, and unsafe work conditions to manager; verify uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; thank guests with genuine appreciation. Speak with others using clear and professional language; answer telephones using appropriate etiquette. Develop and maintain positive working relationships with others; support team to reach common goals. Comply with quality assurance expectations and standards. Identify and recommend new ideas, technologies, or processes to increase organizational efficiency, productivity, quality, safety, and/or cost-savings. Stand
  POSITION SUMMARY     Assist in coordinating the operation of all Special Events or Leisure Experience (i.e.,ICE!, Best of Florida Christmas, SummerFest, etc.) activities. Check the status of operation, lighting, AV, cleanliness, system operation and correct any aesthetic deficiencies. Follow through with training guidelines to support the direction of Special Events Manager and Assistant Managers. Monitor and assist with training for all Special Events employees. Learn and operate software systems used in events (i.e., ticketing, retail, inventory, space usage, etc.). Resolve financial, inventory, numeric discrepancies.     Follow all company policies and procedures; report accidents, injuries, and unsafe work conditions to manager; verify uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; thank guests with genuine appreciation. Speak with others using clear and professional language; answer telephones using appropriate etiquette. Develop and maintain positive working relationships with others; support team to reach common goals. Comply with quality assurance expectations and standards. Identify and recommend new ideas, technologies, or processes to increase organizational efficiency, productivity, quality, safety, and/or cost-savings. Stand
    Responsible for providing quick and efficient service to customers.   Greets customers and takes their food and beverage orders.   Accurately records customer’s orders into register and computes the amount of the bill.   Serves drinks from dispensing machines or makes and serves hot drinks from water heater or coffee maker.   Places items on tray or in take-out containers.   Checks orders to ensure that guest is receiving a complete and correct order.   Informs kitchen staff of shortages or special requests.   Collects payment from guest and makes change.   Helps with preparation of food in kitchen.   Helps with getting back up food on line   Washes dishes.   Informs manager of stock levels.   Restocks drink station/supplies, paper.   Checks supplies in counter area – napkins, taco sauce, and condiments, and restocks items to ensure a sufficient supply throughout shift.   Wipes off front counter with cleaning solution and clean cloth. Keeps counter and floor clean at all times.   Cleans and restocks dining room.   Takes trash out to dumpster.   Performs long-term maintenance on sidewalks, walls, and equipment.   Sweeps and keeps exterior lot clean at all times throughout the shift.   Other Functions Performs other duties as assigned.   Educational Requirements Some high school.  Abilities, Knowledge, and Skills Must be able to perform simple mathematical calculations. Demonstrated ability to understand and implement written and verbal instructions. Must be able to speak, read, write and understand the primary language used by guests. Must be able to communicate clearly, courteously and efficiently with customers.  Required Experience No experience necessary.  Physical and/or Medical Requirements Must obtain a Tuberculosis Clearance Certificate. Position requires well-paced mobility for periods up to six (6) hours in length. Requires standing and walking for the entire workday. Must be able to bend and stoop on occasion. Must have the ability to lift up to 50 lbs. occasionally.  Working Conditions Minimal hazards. General restaurant environment.   DRIVE-THRU CASHIER  Essential Functions    Greets guest through use of electronic communication equipment, receives order and keys into electronic POS device and communicates total to guest.   Assembles beverages and accompanying condiments to fulfill order.   Collects payment from guest and return proper change.   Ensures that order is correct and proper, condiments are passed out and guest is thanked.   Ensures that drive-thru station is fully stocked and maintained to clean and sanitary conditions.   Demonstrates ability to work with others to meet or exceed service time, quality and accuracy standards.   Other Functions Performs other duties as assigned.  Abilities, Knowledge, and Skills Must be able to perform simple mathematical computations. Must be able to operate POS devise and electronic headsets. Must have general knowledge of basic cash handling procedures. Demonstrated ability to understand and implement written and verbal instructions. Must be able to speak, read, write and understand the primary language of the guests.  Required Experience Six (6) months of cashier experience desirable.  Physical and/or Medical Requirements Must obtain a Tuberculosis Clearance Certificate. Must be able to hear in one or both ears so verbal communication can be received, understood and acted upon. Must be able to exercise peripheral vision within a large area. Must be able to walk at reasonable pace within environment breadth, clutter, etc. Position requires standing for periods minimum of four (4) hours in length. Must be able to bend and lift up to 50 lbs. occasionally and up to 20 lbs. frequently.  Working Conditions Minimal hazards. General restaurant environment.   PREP  Essential Functions    Responsible for all required preparations for days business as pre-determined by sales trends and usage calculations.   Prepares all sauces, fresh vegetable prep, prep of meat
    Responsible for providing quick and efficient service to customers.   Greets customers and takes their food and beverage orders.   Accurately records customer’s orders into register and computes the amount of the bill.   Serves drinks from dispensing machines or makes and serves hot drinks from water heater or coffee maker.   Places items on tray or in take-out containers.   Checks orders to ensure that guest is receiving a complete and correct order.   Informs kitchen staff of shortages or special requests.   Collects payment from guest and makes change.   Helps with preparation of food in kitchen.   Helps with getting back up food on line   Washes dishes.   Informs manager of stock levels.   Restocks drink station/supplies, paper.   Checks supplies in counter area – napkins, taco sauce, and condiments, and restocks items to ensure a sufficient supply throughout shift.   Wipes off front counter with cleaning solution and clean cloth. Keeps counter and floor clean at all times.   Cleans and restocks dining room.   Takes trash out to dumpster.   Performs long-term maintenance on sidewalks, walls, and equipment.   Sweeps and keeps exterior lot clean at all times throughout the shift.   Other Functions Performs other duties as assigned.   Educational Requirements Some high school.  Abilities, Knowledge, and Skills Must be able to perform simple mathematical calculations. Demonstrated ability to understand and implement written and verbal instructions. Must be able to speak, read, write and understand the primary language used by guests. Must be able to communicate clearly, courteously and efficiently with customers.  Required Experience No experience necessary.  Physical and/or Medical Requirements Must obtain a Tuberculosis Clearance Certificate. Position requires well-paced mobility for periods up to six (6) hours in length. Requires standing and walking for the entire workday. Must be able to bend and stoop on occasion. Must have the ability to lift up to 50 lbs. occasionally.  Working Conditions Minimal hazards. General restaurant environment.   DRIVE-THRU CASHIER  Essential Functions    Greets guest through use of electronic communication equipment, receives order and keys into electronic POS device and communicates total to guest.   Assembles beverages and accompanying condiments to fulfill order.   Collects payment from guest and return proper change.   Ensures that order is correct and proper, condiments are passed out and guest is thanked.   Ensures that drive-thru station is fully stocked and maintained to clean and sanitary conditions.   Demonstrates ability to work with others to meet or exceed service time, quality and accuracy standards.   Other Functions Performs other duties as assigned.  Abilities, Knowledge, and Skills Must be able to perform simple mathematical computations. Must be able to operate POS devise and electronic headsets. Must have general knowledge of basic cash handling procedures. Demonstrated ability to understand and implement written and verbal instructions. Must be able to speak, read, write and understand the primary language of the guests.  Required Experience Six (6) months of cashier experience desirable.  Physical and/or Medical Requirements Must obtain a Tuberculosis Clearance Certificate. Must be able to hear in one or both ears so verbal communication can be received, understood and acted upon. Must be able to exercise peripheral vision within a large area. Must be able to walk at reasonable pace within environment breadth, clutter, etc. Position requires standing for periods minimum of four (4) hours in length. Must be able to bend and lift up to 50 lbs. occasionally and up to 20 lbs. frequently.  Working Conditions Minimal hazards. General restaurant environment.   PREP  Essential Functions    Responsible for all required preparations for days business as pre-determined by sales trends and usage calculations.   Prepares all sauces, fresh vegetable prep, prep of meat
   This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.  In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.  For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits   CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.   You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   CVS Health is committed to recruiting, hiring
   This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.  In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.  For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits   CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.   You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   CVS Health is committed to recruiting, hiring
   This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors.  In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.  For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits   CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.   You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   CVS Health is committed to recruiting, hiring, developing
   This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors.  In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.  For more detailed information on available benefits, please visit jobs.CVSHealth.com/benefits   CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.   You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.   CVS Health is committed to recruiting, hiring, developing
    PROCUREMENT SPECIALIST, SENIOR    JOB DESCRIPTION:    Performs difficult professional work reviewing and maintaining contracts and procurement documents, interpreting, validating, and applying laws and policies, developing, issuing, and posting formal solicitations, training, guiding, and assisting City employees with procurement processes, managing special projects and providing support to test Procurement and Contracts system, managing and maintaining databases, software, records, and files, and related work as apparent or assigned. Work is performed under the limited supervision of the Procurement Official. Provides general guidance over support staff.        The ideal candidate will be results driven, motivated by challenges and has excellent communication, organization and relationship builder interpersonal skills. A strong working knowledge of procurement and contracting best practices, as well as understanding of related state, federal, and local regulations is preferred. This position will be responsible for requisition compliance review with the procurement program and contract services     including scope of work review, and development of agreements, in addition to managing disposition of surplus equipment
    PROCUREMENT SPECIALIST, SENIOR    JOB DESCRIPTION:    Performs difficult professional work reviewing and maintaining contracts and procurement documents, interpreting, validating, and applying laws and policies, developing, issuing, and posting formal solicitations, training, guiding, and assisting City employees with procurement processes, managing special projects and providing support to test Procurement and Contracts system, managing and maintaining databases, software, records, and files, and related work as apparent or assigned. Work is performed under the limited supervision of the Procurement Official. Provides general guidance over support staff.        The ideal candidate will be results driven, motivated by challenges and has excellent communication, organization and relationship builder interpersonal skills. A strong working knowledge of procurement and contracting best practices, as well as understanding of related state, federal, and local regulations is preferred. This position will be responsible for requisition compliance review with the procurement program and contract services     including scope of work review, and development of agreements, in addition to managing disposition of surplus equipment
   BS or MS degree (with an emphasis in Water Resources or Stormwater Engineering).   At least 10 years of experience in stormwater engineering.   Virginia PE License, or ability to obtain a VA PE through comity.   Progressive experience conducting business development and project delivery for stormwater and resilience projects in coastal communities, including Stormwater Pump Stations, flood control channels and tide gates.   Knowledge of USACE, Virginia DOT, FEMA, AWWA standards and procedures for design.   Knowledge of coastal engineering design, such as revetments, groins, beach nourishment, marsh creation, bulkheads, breakwaters, and dredging is a plus.   Candidate must have strong technical writing and communication skills.   Experience using ArcGIS, AutoCAD Civil 3D, Microstation.   Knowledge of hydrodynamic modeling programs such as PC-SWMM, MIKE, HEC-RAS and Computational Fluid Dynamics (CFD), is a plus.   Extensive experience in Virginia tidewater region is desirable, but experience in a similar coastal region will also be considered a plus.   A clean driving record is required.     Don’t meet every single requirement? At Dewberry we are dedicated to building a diverse, inclusive, and authentic workplace for our employees. So if you’re excited about this role, but your past experience doesn’t align perfectly with every qualification in the position description, we encourage you to apply anyways. You may just be the right candidate for this or other opportunities.      At this time
   BS or MS degree (with an emphasis in Water Resources or Stormwater Engineering).   At least 10 years of experience in stormwater engineering.   Virginia PE License, or ability to obtain a VA PE through comity.   Progressive experience conducting business development and project delivery for stormwater and resilience projects in coastal communities, including Stormwater Pump Stations, flood control channels and tide gates.   Knowledge of USACE, Virginia DOT, FEMA, AWWA standards and procedures for design.   Knowledge of coastal engineering design, such as revetments, groins, beach nourishment, marsh creation, bulkheads, breakwaters, and dredging is a plus.   Candidate must have strong technical writing and communication skills.   Experience using ArcGIS, AutoCAD Civil 3D, Microstation.   Knowledge of hydrodynamic modeling programs such as PC-SWMM, MIKE, HEC-RAS and Computational Fluid Dynamics (CFD), is a plus.   Extensive experience in Virginia tidewater region is desirable, but experience in a similar coastal region will also be considered a plus.   A clean driving record is required.     Don’t meet every single requirement? At Dewberry we are dedicated to building a diverse, inclusive, and authentic workplace for our employees. So if you’re excited about this role, but your past experience doesn’t align perfectly with every qualification in the position description, we encourage you to apply anyways. You may just be the right candidate for this or other opportunities.      At this time
